City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
612,Puerto Ayacucho,VE,75.0,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
614,Le Port,RE,85.96,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
616,Tura,IN,77.47,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
617,Banda Aceh,ID,85.21,overcast clouds,5.5577,95.3222,Sulthan Hotel International
619,Moree,AU,86.02,scattered clouds,-29.4667,149.85,Molika Springs Motel
620,Bandarbeyla,SO,77.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
622,Port Augusta,AU,76.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
624,Soe,ID,77.4,broken clouds,-9.8607,124.284,Dena Hotel
631,Isabela,PH,86.05,overcast clouds,6.7085,121.9711,Isawad Resort
636,Fare,PF,81.12,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
638,Puerto Cabezas,NI,76.1,scattered clouds,14.0351,-83.3888,Cabaña Caribe
650,Nampula,MZ,76.95,clear sky,-15.1165,39.2666,BUTIK Hotel
651,Alcantara,BR,82.6,overcast clouds,-2.4089,-44.4147,Pousada da Josefa
653,Kimbe,PG,83.43,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
663,Soure,BR,78.93,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
667,Kalmunai,LK,83.3,broken clouds,7.4167,81.8167,VS Villa
676,Myitkyina,MM,80.08,broken clouds,25.3833,97.4,Shwe Phyu Hotel
680,Nyaunglebin,MM,82.51,scattered clouds,17.95,96.7333,Thi ha
683,Byron Bay,AU,87.91,clear sky,-28.65,153.6167,Backpackers Inn
684,Kirakira,SB,84.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
687,Auki,SB,82.83,overcast clouds,-8.7676,160.7034,Auki Motel
688,Bang Saphan,TH,85.95,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
690,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
