City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Queanbeyan,AU,2021-12-04 02:48:09,-35.35,149.2333,79.66,47,40,8.05
124,Kodiak,US,2021-12-04 02:48:09,57.79,-152.4072,9.91,85,1,6.91
125,Bintulu,MY,2021-12-04 02:48:09,3.1667,113.0333,81.01,88,40,8.01
126,Sakakah,SA,2021-12-04 02:48:10,29.9697,40.2064,49.57,43,100,7.4
127,Bandarbeyla,SO,2021-12-04 02:48:10,9.4942,50.8122,73.45,72,0,14.32
128,Hobyo,SO,2021-12-04 02:48:10,5.3505,48.5268,78.49,70,7,15.9
129,Amapa,BR,2021-12-04 02:48:10,1.0,-52.0,71.29,98,77,2.57
130,Vostok,RU,2021-12-04 02:48:11,46.4856,135.8833,5.31,83,100,6.91
131,Mar Del Plata,AR,2021-12-04 02:44:39,-38.0023,-57.5575,59.09,85,90,10.0
132,Bang Saphan,TH,2021-12-04 02:48:11,11.2126,99.5117,84.15,57,79,13.02
133,Constitucion,CL,2021-12-04 02:48:11,-35.3333,-72.4167,52.14,76,8,9.13
134,Srednekolymsk,RU,2021-12-04 02:48:12,67.45,153.6833,-14.75,97,100,12.28
135,Arraial Do Cabo,BR,2021-12-04 02:48:12,-22.9661,-42.0278,71.26,77,1,1.07
136,Namibe,AO,2021-12-04 02:48:13,-15.1961,12.1522,70.83,71,92,5.97
137,Samarai,PG,2021-12-04 02:48:13,-10.6167,150.6667,84.06,74,76,10.85
138,Cabo San Lucas,MX,2021-12-04 02:49:13,22.8909,-109.9124,79.52,74,100,7.87
139,Chupa,RU,2021-12-04 02:49:13,66.27,33.0549,17.06,84,48,7.72
140,Asau,RO,2021-12-04 02:49:14,46.4333,26.4,34.75,78,100,1.23
141,Uromi,NG,2021-12-04 02:49:14,6.7,6.3333,70.84,95,100,2.93
142,Kirksville,US,2021-12-04 02:46:30,40.1948,-92.5833,47.12,66,1,3.0
143,Angoram,PG,2021-12-04 02:49:14,-4.0625,144.0661,92.55,54,73,3.94
144,Port Blair,IN,2021-12-04 02:49:15,11.6667,92.75,84.24,84,40,8.05
145,Torbay,CA,2021-12-04 02:49:15,47.6666,-52.7314,43.68,87,40,25.32
146,Buala,SB,2021-12-04 02:49:15,-8.145,159.5921,84.15,74,100,1.81
147,Sembakung,ID,2021-12-04 02:49:15,3.8167,117.25,80.53,87,100,2.75
148,Ixtapa,MX,2021-12-04 02:49:16,20.7,-105.2,72.16,90,2,1.86
149,Hofn,IS,2021-12-04 02:49:16,64.2539,-15.2082,30.85,53,3,9.8
150,Pitimbu,BR,2021-12-04 02:49:16,-7.4706,-34.8086,81.19,83,27,9.62
151,East London,ZA,2021-12-04 02:46:56,-33.0153,27.9116,64.33,79,99,3.22
152,Kattivakkam,IN,2021-12-04 02:49:17,13.2167,80.3167,78.89,88,76,6.26
153,Yartsevo,RU,2021-12-04 02:49:17,55.0667,32.6964,26.47,83,100,12.66
154,Los Llanos De Aridane,ES,2021-12-04 02:49:17,28.6585,-17.9182,61.12,67,75,5.01
155,Port Elizabeth,ZA,2021-12-04 02:49:18,-33.918,25.5701,59.09,94,0,3.44
156,Champerico,GT,2021-12-04 02:49:18,14.3,-91.9167,83.35,76,12,4.79
157,Aklavik,CA,2021-12-04 02:49:18,68.2191,-135.0107,-21.17,85,1,9.08
158,Tagusao,PH,2021-12-04 02:49:18,9.1924,117.8141,83.25,72,38,1.1
159,Burnie,AU,2021-12-04 02:49:19,-41.0667,145.9167,61.97,33,6,11.3
160,Narsaq,GL,2021-12-04 02:49:19,60.9167,-46.05,21.42,62,100,12.73
161,Padang,ID,2021-12-04 02:45:00,-0.9492,100.3543,86.05,68,100,5.79
162,Codrington,AU,2021-12-04 02:49:19,-38.2667,141.9667,61.56,65,65,14.05
163,Vung Tau,VN,2021-12-04 02:47:53,10.346,107.0843,75.9,80,99,3.89
164,Do Gonbadan,IR,2021-12-04 02:49:20,30.3586,50.7981,44.69,100,0,0.0
165,Grand-Lahou,CI,2021-12-04 02:49:20,5.1367,-5.0242,78.89,86,100,5.73
166,Anadyr,RU,2021-12-04 02:49:20,64.75,177.4833,7.3,66,40,15.66
167,Oktyabrskoye,RU,2021-12-04 02:49:20,43.0645,44.7417,19.54,93,38,8.95
168,Atambua,ID,2021-12-04 02:49:21,-9.1061,124.8925,78.94,74,100,2.13
169,Colares,PT,2021-12-04 02:49:21,38.7992,-9.4469,56.34,77,98,15.01
170,Tuatapere,NZ,2021-12-04 02:49:21,-46.1333,167.6833,61.7,94,91,3.27
171,Ashqelon,IL,2021-12-04 02:49:22,31.6693,34.5715,60.4,60,100,2.71
172,Umm Lajj,SA,2021-12-04 02:49:22,25.0213,37.2685,74.19,54,50,7.36
173,Camargo,MX,2021-12-04 02:49:22,27.6667,-105.1667,67.6,32,10,4.52
174,San Marcos,US,2021-12-04 02:49:23,33.1434,-117.1661,58.42,87,90,1.01
175,Laguna,US,2021-12-04 02:49:23,38.421,-121.4238,60.24,94,1,1.01
176,Vila Velha,BR,2021-12-04 02:49:23,-20.3297,-40.2925,71.55,93,75,1.99
177,Kendari,ID,2021-12-04 02:49:23,-3.945,122.4989,83.64,75,100,1.77
178,Dikson,RU,2021-12-04 02:49:24,73.5069,80.5464,-21.95,96,69,11.21
179,Luganville,VU,2021-12-04 02:49:24,-15.5333,167.1667,84.24,70,55,8.97
180,Cayenne,GF,2021-12-04 02:49:24,4.9333,-52.3333,75.24,87,0,1.14
181,Nanortalik,GL,2021-12-04 02:49:25,60.1432,-45.2371,32.41,91,100,24.85
182,Guerrero Negro,MX,2021-12-04 02:49:25,27.9769,-114.0611,62.31,83,48,12.06
183,Port Moresby,PG,2021-12-04 02:49:25,-9.4431,147.1797,89.02,66,40,17.27
184,Craig,US,2021-12-04 02:49:25,40.5153,-107.5464,45.54,74,1,3.44
185,Jacareacanga,BR,2021-12-04 02:50:26,-6.2222,-57.7528,73.33,99,100,0.92
186,Ribeira Grande,PT,2021-12-04 02:50:26,38.5167,-28.7,65.1,82,100,11.54
187,Kirovskaya,RU,2021-12-04 02:50:26,46.9748,40.0402,46.2,71,100,13.94
188,Boa Vista,BR,2021-12-04 02:50:27,2.8197,-60.6733,78.78,78,0,6.91
189,Sept-Iles,CA,2021-12-04 02:50:27,50.2001,-66.3821,23.05,67,75,10.0
190,Manaure,CO,2021-12-04 02:50:27,11.7751,-72.4445,79.93,80,88,14.0
191,West Plains,US,2021-12-04 02:50:28,36.7281,-91.8524,64.08,79,1,3.0
192,Mbandaka,CD,2021-12-04 02:50:28,0.0487,18.2603,70.9,95,81,3.24
193,Kerema,PG,2021-12-04 02:50:28,-7.9631,145.7785,84.6,71,100,5.93
194,Goderich,CA,2021-12-04 02:50:28,43.7501,-81.7165,35.91,75,96,4.61
195,Portland,US,2021-12-04 02:47:30,45.5234,-122.6762,43.84,89,1,1.01
196,Pacific Grove,US,2021-12-04 02:50:29,36.6177,-121.9166,55.51,83,90,3.0
197,Bubaque,GW,2021-12-04 02:50:29,11.2833,-15.8333,81.5,70,57,13.11
198,Pimenteiras,BR,2021-12-04 02:50:29,-6.2453,-41.4192,78.12,57,85,0.98
199,El Paso,US,2021-12-04 02:45:38,31.8001,-106.2005,62.13,31,1,6.91
200,Praia Da Vitoria,PT,2021-12-04 02:50:30,38.7333,-27.0667,62.76,100,40,4.9
201,Sorong,ID,2021-12-04 02:50:30,-0.8833,131.25,81.84,79,100,13.27
202,Kars,TR,2021-12-04 02:50:30,40.602,43.095,0.45,77,2,2.26
203,Kuznechikha,RU,2021-12-04 02:50:31,57.2161,42.3348,31.69,92,100,10.74
204,Vilyuysk,RU,2021-12-04 02:50:31,63.7553,121.6247,-10.34,96,100,14.34
205,Coihaique,CL,2021-12-04 02:50:31,-45.5752,-72.0662,52.41,58,0,4.61
206,Ilulissat,GL,2021-12-04 02:50:31,69.2167,-51.1,7.84,58,80,14.43
207,Yarada,IN,2021-12-04 02:50:32,17.65,83.2667,77.32,69,75,12.66
208,Omboue,GA,2021-12-04 02:50:32,-1.5746,9.2618,76.17,89,100,3.6
209,Tucurui,BR,2021-12-04 02:50:32,-3.7661,-49.6725,73.69,97,86,2.24
